Unnamed: 0,OrigCode,DestCode,Origin,Destination,Trips,Dist,Persons 2011_x,OriPop19,DestEmp19,Ourban,Durban,Inc19_x,region,Inc19_y,lon-origin,lat-origin,lon-dist,lat-dist
115,30114.0,30107.0,Nordstrand Oslo,Vestre Aker Oslo,3632,11167.292520022482,27713,30471,13362.0,11.83,11.55,607000,30107,688000,10.7861425,59.8645605,10.6703187408315,59.95830005
116,30115.0,30107.0,Søndre Nordstrand Oslo,Vestre Aker Oslo,1905,15888.559681370112,21953,23438,13362.0,6.16,11.55,539000,30107,688000,10.798495515727911,59.83594385,10.6703187408315,59.95830005
117,30116.0,30107.0,Sentrum Oslo,Vestre Aker Oslo,4488,6391.529767090363,825,1264,13362.0,1.4,11.55,335000,30107,688000,10.7531379,59.9110251,10.6703187408315,59.95830005
118,30117.0,30107.0,Marka Oslo,Vestre Aker Oslo,1278,7197.6325136266205,1014,1035,13362.0,5.699999999999999,11.55,625000,30107,688000,10.671005191490298,60.040261650000005,10.6703187408315,59.95830005
119,30101.0,30108.0,Gamle Oslo,Nordre Aker Oslo,9544,6484.167307040564,32642,41736,42238.0,4.75,10.5,453000,30108,578000,10.73476733965368,59.8992367,10.756412356654582,59.95363815
120,30102.0,30108.0,Grünerløkka Oslo,Nordre Aker Oslo,11666,3449.3747982508226,36931,47824,42238.0,3.65,10.5,450000,30108,578000,10.777421166334747,59.92547125,10.756412356654582,59.95363815
121,30103.0,30108.0,Sagene Oslo,Nordre Aker Oslo,13830,1847.9199063811584,27199,33852,42238.0,2.34,10.5,461000,30108,578000,10.765848812662396,59.93827295,10.756412356654582,59.95363815
122,30104.0,30108.0,St. Hanshaugen Oslo,Nordre Aker Oslo,11459,3033.765887599915,26137,29966,42238.0,2.8,10.5,430000,30108,578000,10.738958251649304,59.9279499,10.756412356654582,59.95363815
123,30105.0,30108.0,Frogner Oslo,Nordre Aker Oslo,13840,6338.850027181776,37858,42741,42238.0,5.35,10.5,464000,30108,578000,10.7066491,59.9222241,10.756412356654582,59.95363815
124,30106.0,30108.0,Ullern Oslo,Nordre Aker Oslo,6185,6144.399138746236,18359,19164,42238.0,7.1,10.5,648000,30108,578000,10.665131833047553,59.9258182,10.756412356654582,59.95363815
125,30107.0,30108.0,Vestre Aker Oslo,Nordre Aker Oslo,8673,4929.395293312996,26115,27837,42238.0,11.55,10.5,688000,30108,578000,10.6703187408315,59.95830005,10.756412356654582,59.95363815
126,30108.0,30108.0,Nordre Aker Oslo,Nordre Aker Oslo,45548,0.0,29692,31804,42238.0,10.5,10.5,578000,30108,578000,10.756412356654582,59.95363815,10.756412356654582,59.95363815
127,30109.0,30108.0,Bjerke Oslo,Nordre Aker Oslo,5961,4064.2229103550976,17453,20501,42238.0,5.85,10.5,490000,30108,578000,10.829208453029786,59.941394700000004,10.756412356654582,59.95363815
128,30110.0,30108.0,Grorud Oslo,Nordre Aker Oslo,3430,7058.17509408515,15957,17273,42238.0,4.37,10.5,453000,30108,578000,10.8805488,59.9614243,10.756412356654582,59.95363815
129,30111.0,30108.0,Stovner Oslo,Nordre Aker Oslo,3161,9201.142975691888,17580,19116,42238.0,5.04,10.5,489000,30108,578000,10.9228232,59.9621403,10.756412356654582,59.95363815
130,30112.0,30108.0,Alna Oslo,Nordre Aker Oslo,6978,6629.613427979267,29231,30341,42238.0,9.23,10.5,477000,30108,578000,10.8352756,59.9324168,10.756412356654582,59.95363815
